Nopen,"Nama Kantor","KC/KCU",REG,"Tipe Kantor","T. TRX RITEL","T. REV RITEL","T. BRT RITEL","T. Trx Loket","T. Rev Loket","T. Brt Loket","T. Trx Agenpos","T. Rev Agenpos","T. Brt Agenpos","T. Trx Oranger","T. Rev Oranger","T. Brt Oranger","T. Trx Mplace","T. Rev Mplace","T. Brt Mplace","T. Trx PosAja","T. Rev PosAja","T. Brt PosAja","T. Trx LPU","T. Rev LPU","T. Brt LPU"
63217S4,"ARA EPC 140 63217S4",63200,5,AGENBB,1,"9,000",1,0,0,0,1,"9,000",1,0,0,0,0,0,0,0,0,0,0,0,0
63200,"KC NGAWI 63200",63200,5,KPRK,11,"96,800","10.1",1,"6,800","0.1",0,0,0,10,"90,000",10,0,0,0,0,0,0,0,0,0
63161,"KCP JIWAN 63161",63100,5,KPCLK,1,"32,400","0.1",0,0,0,0,0,0,1,"32,400","0.1",0,0,0,0,0,0,0,0,0
63126C2,"AGENPOS KOPKAR BINA SEJAHTERA 63126C2",63100,5,AGENPOS,1,"99,000","4.4",0,0,0,1,"99,000","4.4",0,0,0,0,0,0,0,0,0,0,0,0
63100,"KCU MADIUN 63100",63100,5,KPRK,2,"44,400","0.2",2,"44,400","0.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62382,"KCP PLUMPANG 62382",62300,5,KPCLK,1,"18,000","1.3",1,"18,000","1.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62372,"KCP SOKO 62372",62300,5,KPCLK,2,"33,000","0.7",0,0,0,0,0,0,2,"33,000","0.7",0,0,0,0,0,0,0,0,0
62362,"KCP JATIROGO 62362",62300,5,KPCLK,2,"15,400","0.06",1,"9,550","0.04",0,0,0,1,"5,850","0.02",0,0,0,0,0,0,0,0,0
62357,"KCP MONTONG 62357",62300,5,KPCLK,1,"531,000","8.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"531,000","8.5"
62300,"KC TUBAN 62300",62300,5,KPRK,10,"266,900","6.54",4,"149,000","3.9",0,0,0,4,"23,400","1.2",2,"94,500","1.44",0,0,0,0,0,0
62283,"KCP MANTUP 62283",62200,5,KPCLK,1,"14,000","0.5",0,0,0,0,0,0,1,"14,000","0.5",0,0,0,0,0,0,0,0,0
62282,"KCP KEMBANGBAHU 62282",62200,5,KPCLK,1,"72,000","3.9",0,0,0,0,0,0,1,"72,000","3.9",0,0,0,0,0,0,0,0,0
62272,"KCP KEDUNGPRING 62272",62200,5,KPCLK,1,"7,650","0.4",0,0,0,0,0,0,1,"7,650","0.4",0,0,0,0,0,0,0,0,0
62271,"KCP BABAD 62271",62200,5,KPCLK,1,"22,000","0.5",0,0,0,0,0,0,1,"22,000","0.5",0,0,0,0,0,0,0,0,0
62263,"KCP BRONDONG 62263",62200,5,KPCLK,2,"37,000","2.52",0,0,0,0,0,0,2,"37,000","2.52",0,0,0,0,0,0,0,0,0
62262,"KCP LAREN 62262",62200,5,KPCLK,1,"32,400","2.1",0,0,0,0,0,0,1,"32,400","2.1",0,0,0,0,0,0,0,0,0
62261,"KCP SEKARAN 62261",62200,5,KPCLK,8,"50,400",8,0,0,0,0,0,0,8,"50,400",8,0,0,0,0,0,0,0,0,0
62256,"KCP SUGIO 62256",62200,5,KPCLK,1,"20,300","0.3",0,0,0,0,0,0,1,"20,300","0.3",0,0,0,0,0,0,0,0,0
62200,"KC LAMONGAN 62200",62200,5,KPRK,3,"83,100","5.1",2,"34,000","1.3",0,0,0,1,"49,100","3.8",0,0,0,0,0,0,0,0,0
62100,"KC BOJONEGORO 62100",62100,5,KPRK,1,"9,900","0.4",1,"9,900","0.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61481,"KCP PETERONGAN 61481",61400,5,KPCLK,2,"19,450","0.6",2,"19,450","0.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61473,"KCP NGORO 61473",61400,5,KPCLK,2,"22,000","1.1",0,0,0,0,0,0,0,0,0,2,"22,000","1.1",0,0,0,0,0,0
61472,"KCP DIWEK 61472",61400,5,KPCLK,1,"36,520","1.04",0,0,0,0,0,0,0,0,0,0,0,0,1,"36,520","1.04",0,0,0
61454,"KCP KUDU 61454",61400,5,KPCLK,1,"20,700","0.5",0,0,0,0,0,0,1,"20,700","0.5",0,0,0,0,0,0,0,0,0
61400,"KC JOMBANG 61400",61400,5,KPRK,1,"85,000",5,1,"85,000",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61385,"KCP NGOROMOJOKERTO 61385",61300,5,KPCLK,1,"13,500","0.8",1,"13,500","0.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61382,"KCP MOJOSARI 61382",61300,5,KPCLK,1,"16,800","0.1",1,"16,800","0.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61373B1,"KCP JATIREJO 61373B1",61300,5,KPCLK,8,"85,500","10.1",0,0,0,0,0,0,8,"85,500","10.1",0,0,0,0,0,0,0,0,0
61361,"KCP BRANGKAL 61361",61300,5,KPCLK,1,"26,400",1,0,0,0,0,0,0,1,"26,400",1,0,0,0,0,0,0,0,0,0
61300,"KC MOJOKERTO 61300",61300,5,KPRK,1,"562,611","0.6",0,0,0,0,0,0,1,"562,611","0.6",0,0,0,0,0,0,0,0,0
61273,"KCP TULANGAN 61273",61200,5,KPCLK,2,"21,000","0.2",0,0,0,0,0,0,2,"21,000","0.2",0,0,0,0,0,0,0,0,0
61272,"KCP TANGGULANGIN 61272",61200,5,KPCLK,1,"9,450","0.2",0,0,0,0,0,0,1,"9,450","0.2",0,0,0,0,0,0,0,0,0
61271A,"KCP SIDOARJOCANDI 61271A",61200,5,KPCDK,10,"117,500","7.48",0,0,0,0,0,0,3,"28,000","2.1",7,"89,500","5.38",0,0,0,0,0,0
61262,"KCP KRIAN 61262",61200,5,KPCLK,1,"11,700","0.1",0,0,0,0,0,0,1,"11,700","0.1",0,0,0,0,0,0,0,0,0
61259,"KCP TROSOBO 61259",61200,5,KPCLK,2,"28,000","0.2",2,"28,000","0.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61257,"KCP SEPANJANG 61257",61200,5,KPCLK,4,"25,200","0.4",4,"25,200","0.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61256SS,"IDS FA80000 61256SS",61200,5,AGENBB,1,"50,400",1,0,0,0,1,"50,400",1,0,0,0,0,0,0,0,0,0,0,0,0
61256S3,"ARA UD NIAGA GLOBALTECH 61256S3",61200,5,AGENBB,1,"8,550",1,0,0,0,1,"8,550",1,0,0,0,0,0,0,0,0,0,0,0,0
61256CA,"AGENPOS BUDI RAHAYU 61256CA",61200,5,AGENPOS,1,"7,500","0.2",0,0,0,0,0,0,0,0,0,1,"7,500","0.2",0,0,0,0,0,0
61254SP,"PTN ELGA POST 61254SP",61200,5,AGENBB,1,"15,300",1,0,0,0,1,"15,300",1,0,0,0,0,0,0,0,0,0,0,0,0
61254CI,"AGEN LUHUR 61254CI",61200,5,AGENPOS,1,"60,000",2,0,0,0,1,"60,000",2,0,0,0,0,0,0,0,0,0,0,0,0
61254C7,"AGENPOS PURI SURYA JAYA 61254C7",61200,5,AGENPOS,1,"14,400",1,0,0,0,1,"14,400",1,0,0,0,0,0,0,0,0,0,0,0,0
61253B2,"KCP JUANDA 61253B2",61200,5,KPCDK,1,"10,000",1,0,0,0,0,0,0,0,0,0,1,"10,000",1,0,0,0,0,0,0
61251B1,"KCP WADUNGASRI 61251B1",61200,5,KPCLK,3,"22,050","2.4",3,"22,050","2.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61200,"KC SIDOARJO 61200",61200,5,KPRK,3,"57,600","3.4",2,"39,600","1.9",0,0,0,0,0,0,1,"18,000","1.5",0,0,0,0,0,0
61173,"KCP BALONGPANGGANG 61173",61100,5,KPCLK,2,"30,000","0.44",0,0,0,0,0,0,0,0,0,2,"30,000","0.44",0,0,0,0,0,0
61172B1,"KCP BENJENG 61172B1",61100,5,KPCLK,5,"38,450","1.34",4,"27,450","0.4",0,0,0,0,0,0,1,"11,000","0.94",0,0,0,0,0,0
61162,"KCP DUDUKSAMPEYAN 61162",61100,5,KPCLK,1,"25,200","2.1",1,"25,200","2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61155,"KCP DUKUN 61155",61100,5,KPCLK,2,"129,600","14.2",0,0,0,0,0,0,2,"129,600","14.2",0,0,0,0,0,0,0,0,0
61100,"KC GRESIK 61100",61100,5,KPRK,4,"62,400","1.8",4,"62,400","1.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60300,"KC SURABAYASELATAN 60300",60300,5,KPRK,5,"80,550","1.5",4,"67,950","0.5",0,0,0,1,"12,600",1,0,0,0,0,0,0,0,0,0
