Nopen,"KC/KCU",REG,"T. TRX RITEL","T. REV RITEL","T. BRT RITEL","T. Trx Loket","T. Rev Loket","T. Brt Loket","T. Trx Agenpos","T. Rev Agenpos","T. Brt Agenpos","T. Trx Oranger","T. Rev Oranger","T. Brt Oranger"
61155,61100,5,2,"39,600",2,1,"12,600","0.1",0,0,0,1,"27,000","1.9"
61151C3,61100,5,1,"10,500","0.7",0,0,0,1,"10,500","0.7",0,0,0
61122S1,61100,5,3,"39,150",3,0,0,0,3,"39,150",3,0,0,0
61100,61100,5,2,"39,450","1.6",2,"39,450","1.6",0,0,0,0,0,0
60300,60300,5,6,"269,650","9.66",6,"269,650","9.66",0,0,0,0,0,0
60299S1,60000,5,1,"9,000",1,0,0,0,1,"9,000",1,0,0,0
60296A,60000,5,6,"235,100","6.1",3,"45,650","3.6",0,0,0,3,"189,450","2.5"
60293C1,60000,5,2,"32,400","0.4",0,0,0,2,"32,400","0.4",0,0,0
60284B,60000,5,1,"8,550","0.1",1,"8,550","0.1",0,0,0,0,0,0
60284A,60000,5,1,"43,000","0.1",1,"43,000","0.1",0,0,0,0,0,0
60265C1,60000,5,1,"8,550",1,0,0,0,1,"8,550",1,0,0,0
60256S2,60000,5,4,"81,900",9,0,0,0,4,"81,900",9,0,0,0
60252A,60000,5,4,"50,400","0.8",4,"50,400","0.8",0,0,0,0,0,0
60236A1,60000,5,1,"12,600","0.1",0,0,0,0,0,0,1,"12,600","0.1"
60231A2,60000,5,2,"19,900","0.7",2,"19,900","0.7",0,0,0,0,0,0
60227C2,60000,5,2,"16,070","0.35",0,0,0,2,"16,070","0.35",0,0,0
60223A,60000,5,1,"14,000","0.1",1,"14,000","0.1",0,0,0,0,0,0
60217A1,60000,5,1,"128,468","0.1",1,"128,468","0.1",0,0,0,0,0,0
60216C3,60000,5,1,"203,211","0.06",0,0,0,1,"203,211","0.06",0,0,0
60213A1,60000,5,5,"104,000","9.72",0,0,0,0,0,0,5,"104,000","9.72"
60192A1,60000,5,1,"32,900","2.2",1,"32,900","2.2",0,0,0,0,0,0
60188A1,60000,5,3,"51,500","0.5",0,0,0,0,0,0,3,"51,500","0.5"
60185C2,60000,5,1,"23,000",2,0,0,0,1,"23,000",2,0,0,0
60173C1,60000,5,1,"6,500","0.7",0,0,0,1,"6,500","0.7",0,0,0
60143U1,60000,5,0,0,0,0,0,0,0,0,0,0,0,0
60141C1,60000,5,1,"40,000","0.6",0,0,0,1,"40,000","0.6",0,0,0
60117C1,60000,5,6,"52,700","3.78",0,0,0,6,"52,700","3.78",0,0,0
60113C1,60000,5,1,"8,550",1,0,0,0,1,"8,550",1,0,0,0
60000,60000,5,3,"74,300","2.8",3,"74,300","2.8",0,0,0,0,0,0
